nohup: ignoring input
Device: cuda
=== Loading dataset ===
  Dish-level split: 3654 train dishes, 405 val dishes
  Loaded 9409 samples from 3654 dish IDs (2483 overhead, 6926 side-angle frames, 3654 dishes, 5006 in metadata)
  Loaded 5853 samples from 405 dish IDs (272 overhead, 5581 side-angle frames, 405 dishes, 5006 in metadata)
  Label means (normalization): calories: 227.6, mass: 198.3, fat: 11.3, carbs: 17.9, protein: 15.9
  Train: 9409 samples | Val: 5853 samples

=== Building model ===
  Parameters: 130,886,629 (109,101,061 trainable, backbone frozen for 5 epochs)

  Model summary saved to ./checkpoints/model_summary.txt
=== Training ===

  Epoch   1/100 | Batch 130/295 ( 44.1%) | Running MAE: 6412.66
  Epoch   1/100 | Batch 131/295 ( 44.4%) | Running MAE: 6364.29
  Epoch   1/100 | Batch 132/295 ( 44.7%) | Running MAE: 6316.48
  Epoch   1/100 | Batch 133/295 ( 45.1%) | Running MAE: 6269.31
  Epoch   1/100 | Batch 134/295 ( 45.4%) | Running MAE: 6222.95
  Epoch   1/100 | Batch 135/295 ( 45.8%) | Running MAE: 6177.22
  Epoch   1/100 | Batch 136/295 ( 46.1%) | Running MAE: 6132.66
  Epoch   1/100 | Batch 137/295 ( 46.4%) | Running MAE: 6088.64
  Epoch   1/100 | Batch 138/295 ( 46.8%) | Running MAE: 6044.93
  Epoch   1/100 | Batch 139/295 ( 47.1%) | Running MAE: 6001.87
  Epoch   1/100 | Batch 140/295 ( 47.5%) | Running MAE: 5959.48
  Epoch   1/100 | Batch 141/295 ( 47.8%) | Running MAE: 5917.66
  Epoch   1/100 | Batch 142/295 ( 48.1%) | Running MAE: 5876.32
  Epoch   1/100 | Batch 143/295 ( 48.5%) | Running MAE: 5835.57
  Epoch   1/100 | Batch 144/295 ( 48.8%) | Running MAE: 5795.39
  Epoch   1/100 | Batch 145/295 ( 49.2%) | Running MAE: 5755.80
  Epoch   1/100 | Batch 146/295 ( 49.5%) | Running MAE: 5716.67
  Epoch   1/100 | Batch 147/295 ( 49.8%) | Running MAE: 5678.15
  Epoch   1/100 | Batch 148/295 ( 50.2%) | Running MAE: 5640.20
  Epoch   1/100 | Batch 149/295 ( 50.5%) | Running MAE: 5602.64
  Epoch   1/100 | Batch 150/295 ( 50.8%) | Running MAE: 5565.65
  Epoch   1/100 | Batch 151/295 ( 51.2%) | Running MAE: 5529.13
  Epoch   1/100 | Batch 152/295 ( 51.5%) | Running MAE: 5493.11
  Epoch   1/100 | Batch 153/295 ( 51.9%) | Running MAE: 5457.60
  Epoch   1/100 | Batch 154/295 ( 52.2%) | Running MAE: 5422.48
  Epoch   1/100 | Batch 155/295 ( 52.5%) | Running MAE: 5387.84
  Epoch   1/100 | Batch 156/295 ( 52.9%) | Running MAE: 5353.66
  Epoch   1/100 | Batch 157/295 ( 53.2%) | Running MAE: 5319.89
  Epoch   1/100 | Batch 158/295 ( 53.6%) | Running MAE: 5286.62
  Epoch   1/100 | Batch 159/295 ( 53.9%) | Running MAE: 5253.75
  Epoch   1/100 | Batch 160/295 ( 54.2%) | Running MAE: 5221.22
  Epoch   1/100 | Batch 161/295 ( 54.6%) | Running MAE: 5189.08
  Epoch   1/100 | Batch 162/295 ( 54.9%) | Running MAE: 5157.31
  Epoch   1/100 | Batch 163/295 ( 55.3%) | Running MAE: 5126.16
  Epoch   1/100 | Batch 164/295 ( 55.6%) | Running MAE: 5095.22
  Epoch   1/100 | Batch 165/295 ( 55.9%) | Running MAE: 5064.80
  Epoch   1/100 | Batch 166/295 ( 56.3%) | Running MAE: 5034.62
  Epoch   1/100 | Batch 167/295 ( 56.6%) | Running MAE: 5004.75
  Epoch   1/100 | Batch 168/295 ( 56.9%) | Running MAE: 4975.18
  Epoch   1/100 | Batch 169/295 ( 57.3%) | Running MAE: 4946.03
  Epoch   1/100 | Batch 170/295 ( 57.6%) | Running MAE: 4917.24
  Epoch   1/100 | Batch 171/295 ( 58.0%) | Running MAE: 4888.80
  Epoch   1/100 | Batch 172/295 ( 58.3%) | Running MAE: 4860.66
  Epoch   1/100 | Batch 173/295 ( 58.6%) | Running MAE: 4832.87
  Epoch   1/100 | Batch 174/295 ( 59.0%) | Running MAE: 4805.50
  Epoch   1/100 | Batch 175/295 ( 59.3%) | Running MAE: 4778.41
  Epoch   1/100 | Batch 176/295 ( 59.7%) | Running MAE: 4751.58
  Epoch   1/100 | Batch 177/295 ( 60.0%) | Running MAE: 4725.10
  Epoch   1/100 | Batch 178/295 ( 60.3%) | Running MAE: 4698.80
  Epoch   1/100 | Batch 179/295 ( 60.7%) | Running MAE: 4672.84
  Epoch   1/100 | Batch 180/295 ( 61.0%) | Running MAE: 4647.20
  Epoch   1/100 | Batch 181/295 ( 61.4%) | Running MAE: 4621.89
  Epoch   1/100 | Batch 182/295 ( 61.7%) | Running MAE: 4596.79
  Epoch   1/100 | Batch 183/295 ( 62.0%) | Running MAE: 4571.99
  Epoch   1/100 | Batch 184/295 ( 62.4%) | Running MAE: 4547.52
  Epoch   1/100 | Batch 185/295 ( 62.7%) | Running MAE: 4523.21
  Epoch   1/100 | Batch 186/295 ( 63.1%) | Running MAE: 4499.18
  Epoch   1/100 | Batch 187/295 ( 63.4%) | Running MAE: 4475.44
  Epoch   1/100 | Batch 188/295 ( 63.7%) | Running MAE: 4451.95
  Epoch   1/100 | Batch 189/295 ( 64.1%) | Running MAE: 4428.74
  Epoch   1/100 | Batch 190/295 ( 64.4%) | Running MAE: 4405.84
  Epoch   1/100 | Batch 191/295 ( 64.7%) | Running MAE: 4383.04
  Epoch   1/100 | Batch 192/295 ( 65.1%) | Running MAE: 4360.42
  Epoch   1/100 | Batch 193/295 ( 65.4%) | Running MAE: 4338.14
  Epoch   1/100 | Batch 194/295 ( 65.8%) | Running MAE: 4316.02
  Epoch   1/100 | Batch 195/295 ( 66.1%) | Running MAE: 4294.20
  Epoch   1/100 | Batch 196/295 ( 66.4%) | Running MAE: 4272.61
  Epoch   1/100 | Batch 197/295 ( 66.8%) | Running MAE: 4251.15
  Epoch   1/100 | Batch 198/295 ( 67.1%) | Running MAE: 4229.91
  Epoch   1/100 | Batch 199/295 ( 67.5%) | Running MAE: 4208.89
  Epoch   1/100 | Batch 200/295 ( 67.8%) | Running MAE: 4188.12
  Epoch   1/100 | Batch 201/295 ( 68.1%) | Running MAE: 4167.52
  Epoch   1/100 | Batch 202/295 ( 68.5%) | Running MAE: 4147.16
