nohup: ignoring input
Device: cuda
=== Loading dataset ===
  Dish-level split: 3654 train dishes, 405 val dishes
  Loaded 9409 samples from 3654 dish IDs (2483 overhead, 6926 side-angle frames, 3654 dishes, 5006 in metadata)
  Loaded 5853 samples from 405 dish IDs (272 overhead, 5581 side-angle frames, 405 dishes, 5006 in metadata)
  Label means (normalization): calories: 227.6, mass: 198.3, fat: 11.3, carbs: 17.9, protein: 15.9
  Train: 9409 samples | Val: 5853 samples

=== Building model ===
  Parameters: 130,903,013 (109,117,445 trainable, backbone frozen for 5 epochs)

  Model summary saved to ./checkpoints/model_summary.txt
=== Training ===

  Epoch   1/100 | Batch 277/295 ( 93.9%) | Running MAE: 2697.26
  Epoch   1/100 | Batch 278/295 ( 94.2%) | Running MAE: 2687.74
  Epoch   1/100 | Batch 279/295 ( 94.6%) | Running MAE: 2678.32
  Epoch   1/100 | Batch 280/295 ( 94.9%) | Running MAE: 2668.93
  Epoch   1/100 | Batch 281/295 ( 95.3%) | Running MAE: 2659.62
  Epoch   1/100 | Batch 282/295 ( 95.6%) | Running MAE: 2650.38
  Epoch   1/100 | Batch 283/295 ( 95.9%) | Running MAE: 2641.23
  Epoch   1/100 | Batch 284/295 ( 96.3%) | Running MAE: 2632.12
  Epoch   1/100 | Batch 285/295 ( 96.6%) | Running MAE: 2623.07
  Epoch   1/100 | Batch 286/295 ( 96.9%) | Running MAE: 2614.05
  Epoch   1/100 | Batch 287/295 ( 97.3%) | Running MAE: 2605.10
  Epoch   1/100 | Batch 288/295 ( 97.6%) | Running MAE: 2596.18
  Epoch   1/100 | Batch 289/295 ( 98.0%) | Running MAE: 2587.36
  Epoch   1/100 | Batch 290/295 ( 98.3%) | Running MAE: 2578.65
  Epoch   1/100 | Batch 291/295 ( 98.6%) | Running MAE: 2569.98
  Epoch   1/100 | Batch 292/295 ( 99.0%) | Running MAE: 2561.37
  Epoch   1/100 | Batch 293/295 ( 99.3%) | Running MAE: 2552.81
  Epoch   1/100 | Batch 294/295 ( 99.7%) | Running MAE: 2544.31
  Epoch   1/100 | Batch 295/295 (100.0%) | Running MAE: 2535.74
  ─── Epoch 1/100 ────────────────────────────────────
    Train  ─  MAE: 2535.74  |  norm loss: 37.515
    Val    ─  MAE:   54.85  |  norm loss: 0.677
    Val MAE%:  calories: 81.3%  mass: 58.2%  fat: 96.0%  carbs: 73.4%  protein: 101.7%
    LR: 0.001000  |  Time: 47.9s
    > Saved best model (val MAE: 54.85)

  Epoch   2/100 | Batch 1/295 (  0.3%) | Running MAE: 57.46
  Epoch   2/100 | Batch 2/295 (  0.7%) | Running MAE: 52.33
  Epoch   2/100 | Batch 3/295 (  1.0%) | Running MAE: 56.89
  Epoch   2/100 | Batch 4/295 (  1.4%) | Running MAE: 54.67
  Epoch   2/100 | Batch 5/295 (  1.7%) | Running MAE: 53.65
  Epoch   2/100 | Batch 6/295 (  2.0%) | Running MAE: 53.70
  Epoch   2/100 | Batch 7/295 (  2.4%) | Running MAE: 57.64
  Epoch   2/100 | Batch 8/295 (  2.7%) | Running MAE: 56.31
  Epoch   2/100 | Batch 9/295 (  3.1%) | Running MAE: 55.93
  Epoch   2/100 | Batch 10/295 (  3.4%) | Running MAE: 55.95
  Epoch   2/100 | Batch 11/295 (  3.7%) | Running MAE: 55.33
  Epoch   2/100 | Batch 12/295 (  4.1%) | Running MAE: 56.69
  Epoch   2/100 | Batch 13/295 (  4.4%) | Running MAE: 57.37
