nohup: ignoring input
Device: cuda
=== Loading dataset ===
  Dish-level split: 3654 train dishes, 405 val dishes
  Loaded 9409 samples from 3654 dish IDs (2483 overhead, 6926 side-angle frames, 3654 dishes, 5006 in metadata)
  Loaded 5853 samples from 405 dish IDs (272 overhead, 5581 side-angle frames, 405 dishes, 5006 in metadata)
  Label means (normalization): calories: 227.6, mass: 198.3, fat: 11.3, carbs: 17.9, protein: 15.9
  Train: 9409 samples | Val: 5853 samples

=== Building model ===
  Parameters: 65,860,585 (44,075,017 trainable, backbone frozen for 5 epochs)

  Model summary saved to ./checkpoints/model_summary.txt
=== Training ===

  Epoch   1/100 | Batch 139/295 ( 47.1%) | Running MAE: 1083.29
  Epoch   1/100 | Batch 140/295 ( 47.5%) | Running MAE: 1076.12
  Epoch   1/100 | Batch 141/295 ( 47.8%) | Running MAE: 1068.85
  Epoch   1/100 | Batch 142/295 ( 48.1%) | Running MAE: 1061.71
  Epoch   1/100 | Batch 143/295 ( 48.5%) | Running MAE: 1054.67
  Epoch   1/100 | Batch 144/295 ( 48.8%) | Running MAE: 1047.78
  Epoch   1/100 | Batch 145/295 ( 49.2%) | Running MAE: 1041.39
  Epoch   1/100 | Batch 146/295 ( 49.5%) | Running MAE: 1034.50
  Epoch   1/100 | Batch 147/295 ( 49.8%) | Running MAE: 1027.77
  Epoch   1/100 | Batch 148/295 ( 50.2%) | Running MAE: 1021.28
  Epoch   1/100 | Batch 149/295 ( 50.5%) | Running MAE: 1014.73
  Epoch   1/100 | Batch 150/295 ( 50.8%) | Running MAE: 1008.29
  Epoch   1/100 | Batch 151/295 ( 51.2%) | Running MAE: 1001.92
  Epoch   1/100 | Batch 152/295 ( 51.5%) | Running MAE: 995.65
  Epoch   1/100 | Batch 153/295 ( 51.9%) | Running MAE: 989.83
  Epoch   1/100 | Batch 154/295 ( 52.2%) | Running MAE: 983.68
  Epoch   1/100 | Batch 155/295 ( 52.5%) | Running MAE: 977.65
  Epoch   1/100 | Batch 156/295 ( 52.9%) | Running MAE: 971.73
  Epoch   1/100 | Batch 157/295 ( 53.2%) | Running MAE: 965.84
